UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2363,570.14,48,225,472
CE,4519,494.85,160,914,1848
PA,398,462.64,127,787,1435
RJ,7138,413.44,210,1128,2533
PE,3531,369.46,78,519,1063
AP,289,341.72,4,42,106
RR,182,300.45,14,58,80
AC,237,268.73,14,66,124
ES,937,233.16,33,239,426
SP,9862,214.77,340,1586,315
AL,660,197.76,20,154,292
MA,1322,186.85,37,294,469
RO,267,150.23,12,87,130
PB,559,139.12,25,145,261
RN,487,138.87,28,120,245
SE,264,114.85,12,84,137
PI,299,91.35,16,107,165
DF,256,84.90,20,65,123
TO,120,76.29,6,38,55
BA,975,65.55,38,213,444
MT,141,40.47,18,65,95
RS,316,27.77,14,58,107
GO,189,26.93,9,34,81
SC,184,25.68,5,32,58
PR,275,24.05,22,70,113
MG,409,19.32,10,103,169
MS,24,8.64,2,4,6
