UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2823,681.13,31,137,273
CE,6146,673.01,70,429,954
RJ,10080,583.84,232,927,2113
PA,4960,576.55,40,234,610
PE,4829,505.28,47,490,870
AP,417,493.06,4,37,80
RR,283,467.18,2,32,67
AC,365,413.86,4,44,94
ES,1647,409.84,27,215,515
SP,14763,321.5,365,1695,3631
AL,1052,315.22,20,132,259
RN,1034,294.85,40,284,449
SE,676,294.08,23,165,312
RO,518,291.47,18,74,172
MA,2048,289.46,36,251,511
PB,977,243.15,46,170,306
PI,663,202.55,20,146,265
DF,587,194.68,28,112,239
TO,299,190.1,104,120,159
MT,593,170.18,11,199,350
BA,1853,124.59,53,362,672
GO,491,69.96,24,136,242
PR,636,55.62,36,149,272
RS,614,53.97,32,137,240
SC,341,47.59,17,78,129
MG,965,45.59,25,245,463
MS,76,27.35,1,21,40
