UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,29574,34968.57,421,1912,9652
RR,18323,30247.9,740,5412,10673
AM,74537,17984.14,1007,6317,12854
DF,53996,17907.53,1715,12670,23094
AC,14112,16001.18,64,1468,3125
PA,112531,13080.64,2120,13218,29650
CE,118311,12955.54,1792,13041,28448
ES,51689,12862.28,1447,10037,18457
PB,50765,12634,1229,7933,15672
RO,22241,12514.45,271,2970,7888
MA,88214,12468.09,2189,11516,19714
SE,28186,12261.73,1574,6278,10378
AL,38404,11507.31,1076,5540,11498
RN,33291,9493.13,713,9560,17252
PI,24376,7447.09,1069,6353,11809
TO,11636,7397.96,282,1955,3680
RJ,118956,6890.03,2133,10459,25578
SP,310517,6762.27,8338,52009,98859
PE,62362,6525.22,1243,6558,12642
BA,82314,5534.43,2965,25892,38392
MT,18854,5410.87,1453,6253,10501
SC,30261,4223.57,1686,7314,13939
GO,27502,3918.58,1184,6072,13053
MS,9388,3378.21,326,2475,4722
RS,30371,2669.45,1176,6257,11784
MG,53351,2520.27,2644,14460,27299
PR,27864,2436.95,1840,9400,15079
