UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,27415,32415.74,496,8028,12249
RR,11872,19598.49,1069,4696,5278
AM,67267,16230.05,503,6531,13278
AC,12304,13951.14,282,1640,3213
DF,38871,12891.39,1619,10350,18364
CE,103118,11291.84,3540,14986,28426
PA,96472,11213.94,2436,16400,31321
MA,74925,10589.84,1611,10634,19245
RO,18173,10225.49,749,4369,7626
PB,40824,10159.96,912,9064,15454
ES,40406,10054.62,1923,8634,15978
AL,32065,9607.9,835,6432,12865
SE,21081,9170.85,728,4274,10025
RN,22738,6483.88,964,6849,9504
RJ,105897,6133.64,2404,18580,30122
TO,9425,5992.25,327,1651,2896
PE,55136,5769.13,1114,6510,12142
SP,248587,5413.59,9765,55959,86067
PI,17080,5218.09,853,4513,7743
BA,54291,3650.29,2360,12714,20400
MT,11571,3320.74,554,3610,6485
SC,21951,3063.73,1030,6378,8998
GO,20293,2891.42,1066,6669,12489
MS,6523,2347.26,322,2249,3670
RS,23060,2026.85,1051,5238,8892
MG,32769,1547.99,1426,7863,14321
PR,17618,1540.85,849,5699,9161
