UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,29809,35246.43,235,1908,8235
RR,18769,30984.17,446,5691,10732
DF,55760,18492.55,1764,12994,23525
AM,75945,18323.86,1408,6923,13043
AC,14487,16426.38,375,1574,3224
CE,120952,13244.74,2641,14324,28555
PA,113811,13229.43,1280,13368,29157
ES,52824,13144.71,1135,11172,18586
PB,52306,13017.51,1541,8064,15785
SE,29761,12946.91,1575,6442,11312
RO,22957,12917.33,716,3686,8005
MA,89057,12587.24,843,10942,19384
AL,39255,11762.3,851,5734,11557
RN,33487,9549.02,196,9234,14281
PI,25561,7809.11,1185,6896,11748
TO,12182,7745.1,546,2216,3979
RJ,120428,6975.29,1472,11625,24891
SP,312530,6806.11,2013,46949,96737
PE,63457,6639.8,1095,6368,12339
MT,20098,5767.89,1244,6293,11373
BA,85485,5747.64,3171,20241,40181
SC,31931,4456.66,1670,8123,14823
GO,28526,4064.49,1024,6752,13108
MS,9910,3566.05,522,2603,4920
RS,31619,2779.15,1248,6619,12481
PR,30241,2644.84,2377,10643,16579
MG,55958,2643.42,2607,14992,28653
