UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2731,658.93,21,126,331
CE,5895,645.53,80,502,1187
PA,4803,558.3,55,334,713
RJ,9450,547.35,155,1038,2087
PE,4488,469.6,63,431,855
AP,394,465.87,7,52,91
RR,271,447.37,12,32,83
AC,335,379.85,9,48,90
ES,1490,370.77,27,267,524
SP,13759,299.64,407,1913,3614
AL,958,287.05,20,127,277
MA,1871,264.45,35,264,511
RO,467,262.77,12,93,173
RN,865,246.66,58,210,369
SE,553,240.57,29,170,270
PB,842,209.55,14,133,272
DF,509,168.81,14,130,235
PI,546,166.81,12,111,229
MT,445,127.71,22,157,282
TO,183,116.35,2,31,59
BA,1601,107.64,60,338,588
GO,384,54.71,9,109,190
PR,526,46,16,120,246
RS,500,43.95,0,94,177
SC,289,40.34,10,67,103
MG,806,38.07,35,236,375
MS,61,21.95,5,22,36
