UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2843,685.95,20,133,264
CE,6203,679.25,57,388,896
RJ,10198,590.68,118,903,2060
PA,5004,581.67,44,256,609
RR,314,518.36,31,55,83
PE,4894,512.08,65,469,885
AP,420,496.61,3,33,82
ES,1692,421.04,45,229,513
AC,370,419.53,5,44,89
SP,15030,327.32,267,1678,3509
AL,1072,321.21,20,134,261
SE,701,304.96,25,177,337
RN,1067,304.26,33,260,482
MA,2081,294.13,33,245,511
RO,520,292.59,2,65,159
PB,1002,249.37,25,174,306
PI,686,209.58,23,152,265
DF,620,205.62,33,125,255
MT,629,180.52,36,206,364
TO,204,129.7,5,23,55
BA,1902,127.88,49,361,680
GO,521,74.23,30,146,266
PR,650,56.85,14,140,264
RS,636,55.9,22,136,249
SC,347,48.43,6,68,131
MG,1007,47.57,42,236,470
MS,85,30.59,9,29,49
