UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2271,547.94,21,200,490
CE,4192,459.04,210,1004,1699
PA,3835,445.78,121,910,1463
RJ,6781,392.76,74,1319,2676
PE,3350,350.53,45,475,1102
AP,278,328.71,6,50,110
RR,168,277.34,29,52,82
AC,211,239.25,4,50,114
ES,871,216.74,39,257,406
SP,9188,200.09,43,1521,2968
AL,622,186.38,21,161,285
MA,1247,176.25,77,271,463
RO,245,137.86,10,86,124
PB,507,126.18,23,137,228
RN,431,122.90,21,108,222
SE,234,101.80,17,68,131
PI,265,80.96,11,97,155
DF,226,74.95,12,55,112
TO,108,68.66,9,32,50
BA,910,61.18,31,209,433
MT,114,32.72,13,48,73
RS,291,25.58,5,59,94
SC,177,24.70,6,31,68
GO,173,24.65,0,46,77
PR,243,21.25,6,53,87
MG,380,17.95,4,102,150
MS,22,7.92,1,2,5
