UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2710,653.86,24,131,347
CE,5815,636.77,98,508,1296
PA,4748,551.91,22,353,768
RJ,9295,538.37,142,1157,2157
PE,4425,463.01,86,416,894
AP,387,457.59,7,49,98
RR,259,427.56,8,28,77
AC,326,369.64,5,45,89
ES,1463,364.05,31,284,526
SP,13352,290.77,284,1831,3490
AL,938,281.06,18,127,278
MA,1836,259.5,39,266,514
RO,455,256.02,11,94,188
RN,807,230.12,57,222,320
SE,524,227.96,13,160,260
PB,828,206.07,21,132,269
DF,495,164.16,20,130,239
PI,534,163.14,17,113,235
MT,423,121.4,29,158,282
TO,181,115.08,2,32,61
BA,1541,103.61,50,319,566
GO,375,53.43,20,120,186
PR,510,44.6,23,124,235
RS,500,43.95,23,113,184
SC,279,38.94,16,63,95
MG,771,36.42,51,234,362
MS,56,20.15,1,20,32
