UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2465,594.75,36,233,418
CE,4829,528.8,17,864,1873
PA,4191,487.16,10,579,1291
RJ,7592,439.74,175,953,2315
PE,3784,395.94,90,514,1044
AP,319,377.19,7,50,104
RR,197,325.21,5,58,87
AC,256,290.27,2,55,114
ES,1028,255.81,29,222,445
SP,10581,230.43,213,1523,3049
AL,723,216.64,22,141,299
MA,1436,202.96,37,304,504
RO,309,173.87,13,81,158
PB,623,155.05,13,156,276
RN,533,151.99,24,123,228
SE,316,137.47,11,108,167
PI,335,102.35,0,111,178
DF,293,97.17,11,85,131
TO,130,82.65,2,34,59
BA,1069,71.87,30,223,431
MT,192,55.1,17,96,135
RS,344,30.24,7,61,126
GO,211,30.06,5,39,89
PR,312,27.29,18,80,131
SC,193,26.94,2,27,57
MG,454,21.45,8,86,191
MS,28,10.08,0,7,9
