UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,28253,33406.6,268,3571,11440
RR,14459,23869.15,118,6271,7981
AM,69893,16863.64,244,6162,13116
DF,47071,15610.88,2166,12923,23388
AC,13146,14905.86,88,1607,3375
PA,103206,11996.7,1999,14570,31963
CE,108225,11851.08,632,13517,28763
RO,20406,11481.95,586,4579,8226
ES,45097,11221.93,1414,8950,17445
PB,45057,11213.43,378,7804,16389
MA,78969,11161.41,457,8280,18377
SE,24817,10796.12,396,5433,9142
AL,35116,10522.1,804,5721,12187
RN,28970,8260.97,4514,9060,14756
TO,10359,6586.07,131,1882,3222
RJ,111883,6480.36,585,14311,30937
PE,58476,6118.61,369,5982,12969
PI,19753,6034.72,595,5277,8872
SP,275145,5991.96,3408,53172,93685
BA,69467,4670.66,972,22381,31847
MT,15086,4329.5,745,5065,8901
SC,25056,3497.1,692,7119,11096
GO,23379,3331.12,1254,6301,12938
MS,7676,2762.16,149,2285,4125
RS,25659,2255.29,416,5949,10221
MG,43864,2072.11,1123,14946,22136
PR,21089,1844.42,573,6141,11373
