UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,24,579.07,37,217,436
CE,4708,515.55,189,895,1975
PA,409,475.42,110,674,1386
RJ,7363,426.47,225,1036,2507
PE,3633,380.14,102,499,1067
AP,303,358.27,14,49,105
RR,188,310.35,6,61,86
AC,245,277.80,8,64,123
ES,966,240.38,29,229,428
SP,10145,220.93,283,1585,3165
AL,681,204.05,21,150,296
MA,136,192.22,38,298,473
RO,294,165.43,27,100,152
PB,570,141.86,11,132,252
RN,496,141.44,9,118,254
SE,283,123.11,19,97,148
PI,317,96.85,18,115,179
DF,274,90.87,18,78,132
TO,124,78.84,4,37,56
BA,1013,68.11,38,223,443
MT,163,46.78,22,81,112
RS,323,28.39,7,58,110
GO,194,27.64,5,30,79
SC,186,25.96,2,30,55
PR,280,24.49,5,65,111
MG,431,20.36,22,108,176
MS,25,9.00,1,5,7
