UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,19922,23555.95,535,4239,7595
AM,61683,14882.75,947,6572,14017
RR,7650,12628.74,474,938,2819
AC,10987,12457.83,323,1692,3703
DF,30902,10248.51,2381,9506,16694
CE,89863,9840.37,1731,14079,28268
MA,68500,9681.73,4209,10895,25187
PA,82881,9634.12,2809,15405,31921
PB,35093,8733.67,3333,8537,16514
ES,33232,8269.44,1460,7730,15123
RO,14353,8076.07,549,3129,7491
AL,26906,8062.07,1273,6875,12969
SE,17808,7747,1001,6274,9231
RJ,93378,5408.53,6061,15594,30312
PE,49720,5202.43,1094,5848,11209
TO,7956,5058.28,182,1212,2774
SP,211658,4609.37,19030,43758,77093
RN,16039,4573.62,150,2495,6599
PI,12567,3839.33,0,2742,5850
BA,43922,2953.12,2345,9257,17503
MT,8353,2397.21,392,2990,4872
SC,16322,2278.09,749,3157,5476
GO,14449,2058.74,825,6523,9076
MS,4666,1679.03,392,1665,2669
RS,18587,1633.7,765,4203,7004
MG,26052,1230.68,1146,5946,12057
PR,12785,1118.16,866,4080,6437
