UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,15683,18543.72,517,3356,7214
AM,55111,13297.07,1122,7445,16202
RR,6712,11080.28,118,1881,3614
AC,9295,10539.33,204,2011,3454
CE,75784,8298.66,1092,14189,37389
MA,57605,8141.84,1925,14292,27123
PA,67476,7843.43,2325,16516,3099
DF,21396,7095.89,889,7188,12674
PB,26556,6609.05,1186,7977,14545
ES,25502,6345.91,1074,7393,12599
RO,11224,6315.46,677,4362,6722
AL,20031,6002.05,831,6094,11413
SE,11534,5017.63,478,2957,5072
PE,43872,4590.53,878,5361,11617
RJ,77784,4505.31,2009,14718,29831
TO,6744,4287.71,215,1562,3133
RN,13544,3862.15,310,4104,7081
SP,167900,3656.43,538,33335,66344
PI,9825,3001.63,488,3108,5322
BA,34665,2330.72,774,8246,17748
SC,13165,1837.46,212,2319,4635
MT,5363,1539.12,277,1882,326
RS,14384,1264.28,216,2801,5541
GO,7926,1129.32,122,2553,4607
MS,3001,1079.89,148,1004,1645
MG,20106,949.79,1658,6111,10874
PR,8705,761.33,248,2357,4469
