UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,16322,19299.28,639,3549,7009
AM,56026,13517.84,915,7241,15466
RR,6842,11294.88,130,1604,3543
AC,9534,10810.32,239,2009,3462
CE,76429,8369.29,645,12854,29923
MA,58859,8319.08,1254,13389,26239
PA,68456,7957.35,980,15280,31160
DF,21959,7282.6,563,6109,12485
PB,27454,6832.54,898,7667,14592
RO,11710,6588.92,486,4010,6967
ES,26011,6472.57,509,7061,12574
AL,20887,6258.55,856,6069,11664
SE,12866,5597.09,1332,3894,6061
PE,44671,4674.13,799,5310,11244
RJ,78836,4566.25,1052,14303,26416
TO,6931,4406.61,187,1426,2950
RN,13789,3932.02,245,4340,6387
SP,172875,3764.78,4975,32326,65733
PI,9825,3001.63,0,2720,5080
BA,35788,2406.23,1123,8392,18162
SC,13296,1855.74,131,2011,4518
MT,5524,1585.32,161,1862,3163
RS,14627,1285.64,243,2590,5385
MS,3235,1164.09,234,1103,1817
GO,7941,1131.46,15,2272,4356
MG,20614,973.79,508,5675,10984
PR,9233,807.51,528,2628,4760
