UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,29883,35333.93,74,1898,8043
RR,18922,31236.74,153,4581,10802
DF,57854,19187.02,2094,12949,24627
AM,76014,18340.5,69,6365,12604
AC,14622,16579.45,135,1564,3241
CE,121986,13357.97,1034,14393,29120
PA,114535,13313.59,724,13328,28515
ES,53393,13286.3,569,9710,18527
RO,23479,13211.05,522,3659,8298
SE,30217,13145.28,456,5796,11232
PB,52728,13122.53,422,8049,15944
MA,89714,12680.1,657,11202,19655
AL,39935,11966.06,680,5623,11278
RN,34717,9899.76,1230,10261,15427
PI,26079,7967.37,518,6921,11603
TO,12375,7867.8,193,2147,4021
RJ,121292,7025.33,864,9994,25159
SP,320179,6972.68,7649,48442,100994
PE,65129,6814.74,1672,7022,13016
BA,87048,5852.73,1563,18553,40769
MT,20333,5835.33,235,5992,10557
SC,32969,4601.53,1038,8605,15387
GO,28526,4064.49,0,6401,12639
MS,10089,3630.46,179,2562,4852
RS,31955,2808.68,336,6712,12607
MG,58283,2753.25,2325,15542,30642
PR,31120,2721.72,879,10604,16784
