UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2929,706.7,11,147,272
CE,6441,705.32,30,446,918
RJ,10667,617.84,43,848,1792
RR,368,607.5,4,87,117
PA,5105,593.41,9,235,500
PE,5143,538.14,27,392,909
AP,442,522.62,1,35,83
ES,1803,448.66,22,237,475
AC,391,443.34,0,38,91
SP,16078,350.14,82,1740,3490
RN,1219,347.61,42,282,522
SE,798,347.15,15,178,336
AL,1153,345.48,19,141,269
MA,2219,313.63,34,237,498
RO,555,312.28,7,69,138
PB,1099,273.51,17,188,333
PI,784,239.52,22,169,282
DF,699,231.82,28,151,276
MT,786,225.57,31,223,416
BA,2107,141.67,57,359,716
TO,220,139.87,5,28,45
GO,621,88.48,0,185,315
PR,781,68.31,32,195,339
RS,727,63.9,12,168,293
MG,1201,56.73,18,302,540
SC,393,54.85,10,81,147
MS,117,42.1,3,45,72
