UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,27901,32990.4,239,6327,11579
RR,13078,21589.37,167,5041,6236
AM,69022,16653.49,802,6120,12996
AC,12913,14641.67,269,1650,3379
DF,42766,14183.15,1440,10531,20807
CE,106628,11676.2,1358,14231,30199
PA,100443,11675.53,1130,15789,31987
MA,78115,11040.71,1417,8442,19256
PB,44242,11010.6,1410,7721,16788
RO,19271,10843.31,0,4319,7561
ES,41652,10364.67,0,7414,15641
SE,23319,10144.45,1411,4870,10453
AL,33521,10044.18,657,5823,12634
RN,24253,6915.89,522,5047,10464
TO,9966,6336.2,285,1763,3035
RJ,108803,6301.96,306,13266,29967
PE,57089,5973.48,1285,5971,12418
SP,265581,5783.68,7073,49788,92706
PI,18665,5702.32,642,4852,8512
BA,65244,4386.72,8822,19940,29456
MT,13805,3961.87,1204,5080,8281
SC,23808,3322.92,861,6700,10512
GO,21774,3102.44,344,6356,13833
MS,7307,2629.38,394,2317,4072
RS,25000,2197.37,886,5862,10373
MG,40966,1935.21,2075,13661,20352
PR,19598,1714.02,1134,5936,10365
