UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,14623,17290.37,852,3516,7004
AM,52849,12751.30,1615,8502,19341
RR,6347,10477.73,291,2204,3665
AC,8746,9916.83,289,2067,3495
CE,71947,7878.49,2924,15891,34672
MA,53508,7562.77,1439,15334,27363
PA,63405,7370.22,4257,18631,32372
DF,19433,6444.87,1343,7413,11672
PB,24032,5980.90,158,8014,13823
ES,23391,5820.61,1427,727,11907
RO,985,5542.35,630,4137,5988
AL,18176,5446.23,983,5769,10596
SE,10616,4618.27,489,2627,4704
PE,41935,4387.85,925,5472,12016
RJ,74373,4307.75,1394,15133,31975
TO,6257,3978.09,205,1559,3234
SP,156313,3404.10,6175,3283,6683
RN,11568,3298.68,541,2419,5938
PI,8823,2695.51,464,2995,4857
BA,32685,2197.60,2204,10234,17615
SC,12594,1757.76,402,256,5222
MT,4517,1296.32,423,1669,2678
RS,1362,1197.13,817,3222,6572
GO,738,1051.53,730,281,4537
MS,2597,934.51,142,795,1411
MG,1751,827.16,1399,55,9499
PR,7831,684.89,517,2337,4119
