UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2429,586.06,29,230,418
CE,4812,526.93,104,922,1953
PA,4181,486.00,91,643,1354
RJ,7417,429.60,54,944,2338
PE,3694,386.52,61,489,1025
AP,312,368.91,9,52,105
RR,192,316.96,4,53,84
AC,254,288.00,9,64,119
ES,999,248.59,33,219,439
SP,10368,225.79,223,1526,3093
AL,701,210.05,20,144,295
MA,1399,197.73,39,304,488
RO,296,166.55,2,83,151
PB,610,151.81,40,159,283
RN,509,145.14,13,122,241
SE,305,132.68,22,107,163
PI,335,102.35,18,118,189
DF,282,93.52,8,80,128
TO,128,81.38,4,39,58
BA,1039,69.86,26,220,430
MT,175,50.22,12,87,119
RS,337,29.62,14,61,121
GO,206,29.35,12,39,87
SC,191,26.66,5,32,57
PR,294,25.71,14,67,121
MG,446,21.07,15,102,189
MS,28,10.08,3,7,10
