UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,26437,31259.35,1755,8413,12666
RR,10340,17069.44,2152,3608,4284
AM,65073,15700.68,1342,7055,13839
AC,11810,13391.01,271,1807,3353
DF,35368,11729.64,1220,9989,17278
CE,97528,10679.72,2820,15359,28505
PA,91708,10660.17,3072,17516,32560
MA,72021,10179.39,1332,9310,19952
PB,38999,9705.77,1746,8871,16547
RO,16498,9283.01,671,3488,7278
ES,37225,9263.06,1078,8195,15261
AL,30246,9062.86,851,6614,13053
SE,19883,8649.69,499,3573,9756
RJ,100869,5842.42,3297,17526,27890
RN,20075,5724.51,165,4863,9048
TO,8766,5573.27,289,1457,2714
PE,52831,5527.95,337,6404,11821
SP,229475,4997.38,7502,39190,79337
PI,15269,4664.82,793,3710,6910
BA,49084,3300.19,1998,9878,18603
MT,10270,2947.37,249,3598,6176
SC,19244,2685.91,1307,4842,7052
GO,17988,2562.99,910,6226,11338
MS,5784,2081.33,393,1999,3329
RS,20864,1833.84,1154,4393,8061
MG,29897,1412.31,979,7873,13786
PR,15673,1370.74,725,5116,8359
