UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2739,660.86,8,115,310
CE,5962,652.86,67,502,1150
PA,4834,561.91,31,315,653
RJ,9587,555.29,137,1002,2170
PE,4610,482.37,122,508,916
AP,401,474.15,7,53,89
RR,273,450.67,2,34,81
AC,343,388.92,8,51,89
ES,1507,375,17,240,508
SP,13966,304.14,207,1734,3598
AL,975,292.15,17,127,274
MA,1906,269.39,35,261,507
RO,476,267.83,9,85,180
RN,889,253.5,24,196,380
SE,579,251.88,26,153,274
PB,864,215.03,22,140,254
DF,532,176.44,23,135,250
PI,574,175.36,28,139,239
MT,476,136.61,31,167,301
TO,186,118.26,3,27,58
BA,1642,110.4,41,337,603
GO,425,60.56,41,136,219
PR,551,48.19,25,132,257
RS,540,47.46,40,117,203
SC,298,41.59,9,64,107
MG,833,39.35,27,233,387
MS,65,23.39,4,25,37
