UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,18024,21311.74,1211,4253,7513
AM,58018,13998.47,1241,6784,14823
AC,10003,11342.11,232,1546,3538
RR,6732,11113.29,254,676,2882
CE,82169,8997.84,2707,13146,29096
MA,62711,8863.52,2119,10642,26086
PA,74192,8624.1,2949,15044,32985
DF,25379,8416.83,1696,7289,14123
PB,30128,7498.02,1460,7676,15269
RO,13010,7320.4,830,3790,7533
ES,29030,7223.82,1378,7066,13879
SE,16310,7095.33,635,6183,8755
AL,23632,7081.05,703,6439,12073
PE,46427,4857.87,920,5417,10919
RJ,83343,4827.3,2397,10364,26611
TO,7309,4646.93,172,1257,2826
RN,15212,4337.79,998,4185,6979
SP,190285,4143.92,8825,40147,71990
PI,10881,3324.24,0,2522,5375
BA,39206,2636.04,1586,8725,17776
SC,14402,2010.11,442,2210,4742
MT,6390,1833.85,205,2296,3681
GO,11762,1675.89,1321,5112,7385
RS,16471,1447.72,1033,3668,6552
MS,3785,1362.01,234,1330,2139
MG,22024,1040.4,296,5913,11085
PR,10557,923.3,841,3243,5394
