UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,24682,29184.22,2842,7869,11388
AM,63731,15376.89,321,6954,13914
RR,8188,13516.88,68,1710,2132
AC,11539,13083.73,158,1768,3411
DF,34148,11325.03,921,10465,17200
CE,94708,10370.91,1842,15246,28490
PA,88636,10303.08,2616,17393,31066
MA,70689,9991.12,630,10097,21318
PB,37253,9271.24,469,8585,16302
ES,36147,8994.81,1281,8495,15488
RO,15827,8905.46,646,3647,7201
AL,29395,8807.87,738,6466,13056
SE,19384,8432.61,399,3709,9656
RN,19910,5677.45,620,5696,9022
RJ,97572,5651.45,1439,16626,28073
PE,52494,5492.69,381,6987,11789
TO,8477,5389.52,123,1340,2670
SP,221973,4834.01,2788,40513,77380
PI,14476,4422.55,0,3595,6549
BA,47086,3165.86,807,9466,18371
MT,10021,2875.91,245,3836,6023
SC,17937,2503.49,355,3977,6195
GO,17078,2433.33,1191,6637,10929
MS,5391,1939.92,154,1840,3067
RS,19710,1732.41,362,4272,7459
MG,28918,1366.07,1277,7190,13026
PR,14948,1307.33,612,5232,7917
