UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2605,628.53,26,205,422
CE,5393,590.56,86,685,1580
PA,4469,519.48,74,379,1053
RJ,8412,487.23,274,1049,2085
PE,4057,424.5,48,424,923
AP,342,404.38,4,39,88
RR,239,394.55,8,51,112
AC,287,325.42,6,42,106
ES,1223,304.33,44,257,486
SP,11846,257.98,325,1701,3286
AL,831,249,20,150,300
MA,1607,227.13,37,247,545
RO,374,210.44,13,80,180
RN,655,186.78,70,159,277
PB,709,176.45,13,139,271
SE,383,166.62,19,100,197
PI,435,132.9,14,118,233
DF,379,125.69,14,105,183
TO,152,96.64,3,28,65
BA,1263,84.92,41,250,473
MT,288,82.65,23,125,206
GO,275,39.18,20,81,111
RS,406,35.69,19,83,141
PR,406,35.51,20,126,191
SC,222,30.98,6,36,66
MG,570,26.93,33,139,247
MS,39,14.03,3,14,19
