UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2512,606.09,20,241,441
CE,4999,547.41,114,807,1811
PA,4291,498.79,90,456,1366
RJ,7728,447.61,56,947,2266
PE,3886,406.61,31,536,1011
AP,329,389.01,5,51,101
RR,203,335.12,3,35,87
AC,265,300.48,6,54,104
ES,1087,270.49,32,216,473
SP,10767,234.48,73,1579,3100
AL,768,230.12,24,146,307
MA,1499,211.87,32,252,523
RO,332,186.81,8,87,173
PB,656,163.26,23,149,286
RN,553,157.69,19,122,230
SE,352,153.13,22,118,186
PI,374,114.26,0,109,206
DF,319,105.79,15,93,148
TO,135,85.83,3,27,59
BA,1145,76.98,40,235,444
MT,216,61.99,3,102,150
GO,238,33.91,22,65,111
RS,360,31.64,10,69,128
PR,334,29.21,8,91,144
SC,199,27.77,4,22,53
MG,481,22.72,6,101,203
MS,33,11.87,2,11,13
