UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2782,671.24,10,125,290
CE,5995,656.48,14,472,1110
RJ,9819,568.72,30,944,2147
PA,4870,566.09,25,265,669
PE,4751,497.12,43,517,896
AP,407,481.24,1,48,83
RR,281,463.88,0,30,81
AC,353,400.26,2,53,94
ES,1566,389.68,59,238,511
SP,14338,312.25,75,1750,3644
AL,1012,303.23,19,128,268
MA,1982,280.13,39,261,515
RO,486,273.46,10,69,162
SE,620,269.72,15,158,290
RN,937,267.19,28,240,403
PB,911,226.72,15,145,278
PI,615,187.89,23,113,241
DF,548,181.74,11,125,244
MT,563,161.57,36,193,350
TO,192,122.07,1,17,60
BA,1748,117.53,51,357,643
GO,436,62.12,2,130,220
PR,586,51.25,24,144,260
RS,559,49.13,5,125,209
SC,312,43.55,8,66,117
MG,899,42.47,17,238,424
MS,72,25.91,4,27,41
