UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,28492,33689.2,239,2055,10468
RR,14641,24169.6,182,4301,7909
AM,70823,17088.03,930,5750,12805
DF,49217,16322.6,2146,13849,23838
AC,13253,15027.18,107,1443,3250
PA,105853,12304.39,2647,14145,31661
CE,110483,12098.34,2258,12955,28314
RO,21251,11957.41,845,4753,8241
PB,46957,11686.29,1900,7958,16829
ES,46893,11668.84,1796,9668,17863
MA,80451,11370.88,1482,8430,17740
SE,25411,11054.53,594,5528,9101
AL,35962,10775.59,846,5716,12330
RN,30010,8557.53,1040,9935,14798
TO,10764,6843.56,405,1998,3455
RJ,112611,6522.52,728,11742,29268
PI,20422,6239.1,669,5153,8863
PE,58858,6158.58,382,6027,12431
SP,281380,6127.74,6235,51905,91095
BA,73307,4928.84,3840,24223,34101
MT,15636,4487.34,550,5366,8964
SC,26354,3678.27,1298,7110,11952
GO,24842,3539.58,1463,6854,13080
MS,7965,2866.15,289,2181,4180
RS,26941,2367.97,1282,6077,10470
MG,45001,2125.82,1137,15104,22977
PR,22623,1978.58,1534,6950,12066
