UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2657,641.08,7,165,407
CE,5523,604.79,3,638,1541
PA,4605,535.29,22,404,891
RJ,8875,514.05,51,1203,2168
PE,4234,443.02,86,379,929
AP,359,424.48,6,35,87
RR,251,414.35,6,51,112
AC,300,340.16,3,41,93
ES,1328,330.46,31,273,496
SP,12588,274.13,94,1894,3443
AL,884,264.88,18,140,283
MA,1721,243.24,37,254,551
RO,417,234.64,8,93,182
SE,462,200.98,14,132,245
RN,697,198.75,0,163,287
PB,766,190.64,23,133,282
PI,502,153.37,43,128,248
DF,423,140.29,18,119,209
TO,175,111.26,8,43,76
MT,370,106.19,48,157,269
BA,1391,93.52,41,286,512
GO,306,43.6,11,90,133
PR,442,38.66,14,116,205
RS,434,38.15,4,84,148
SC,246,34.33,9,51,75
MG,661,31.23,25,186,285
MS,45,16.19,2,14,24
