UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
CE,6481,709.7,40,405,863
AM,2938,708.87,9,146,267
RJ,10698,619.64,31,850,1765
RR,371,612.45,3,90,120
PA,5128,596.08,23,208,456
PE,5163,540.23,20,381,911
AP,449,530.9,7,36,77
ES,1836,456.87,33,216,449
AC,394,446.74,3,33,89
SE,826,359.33,28,173,335
RN,1254,357.59,35,260,524
SP,16134,351.36,56,1736,3500
AL,1172,351.18,19,140,269
MA,2250,318.01,31,238,490
RO,558,313.97,3,58,127
PB,1118,278.24,19,187,334
PI,809,247.16,25,166,307
DF,726,240.77,27,167,277
MT,821,235.62,35,239,437
BA,2168,145.77,61,368,727
TO,224,142.42,4,29,46
GO,654,93.18,33,187,330
PR,806,70.49,25,206,346
RS,759,66.71,32,177,301
MG,1230,58.1,29,290,542
SC,406,56.67,13,82,150
MS,122,43.9,5,47,75
