UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,16512,19523.94,190,3467,6910
AM,56506,13633.65,480,7237,15128
RR,6875,11349.36,33,1637,3401
AC,9642,10932.78,108,1659,3423
MA,59850,8459.15,991,12257,25211
CE,76833,8413.53,404,12562,28344
PA,69224,8046.62,768,14426,31263
DF,22871,7585.06,912,6248,13091
PB,28013,6971.66,559,7703,14851
RO,11865,6676.14,155,3755,6923
AL,22199,6651.67,1312,6493,11911
ES,26469,6586.54,458,6850,12779
SE,13968,6076.49,1102,4677,6969
PE,45261,4735.87,590,5019,10811
RJ,79572,4608.88,736,11816,26184
TO,6972,4432.67,41,1328,2796
RN,14171,4040.94,382,4722,6769
SP,178202,3880.79,5327,35129,68504
PI,10153,3101.83,0,2532,5222
BA,36401,2447.44,613,8151,18009
SC,13360,1864.67,64,1795,4323
MT,6108,1752.92,584,2320,3679
RS,14661,1288.63,34,2525,5329
MS,3433,1235.34,198,1180,1944
GO,7960,1134.17,19,2147,4258
MG,21381,1010.02,767,5669,10917
PR,9583,838.12,350,2686,4896
