UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2772,668.82,33,122,307
CE,5981,654.94,19,461,1152
RJ,9789,566.99,202,965,2197
PA,4845,563.18,11,262,654
PE,4708,492.62,98,560,924
AP,406,480.06,5,53,87
RR,281,463.88,8,36,84
AC,351,397.99,8,54,95
ES,1507,375,0,210,479
SP,14263,310.61,297,1769,3682
AL,993,297.54,18,127,270
MA,1943,274.62,37,259,507
RO,476,267.83,0,67,167
SE,605,263.19,26,157,289
RN,909,259.21,20,212,376
PB,896,222.99,32,153,273
PI,592,180.86,18,133,232
DF,537,178.09,5,132,244
MT,527,151.24,51,205,335
TO,191,121.43,5,24,61
BA,1697,114.1,55,347,628
GO,434,61.84,9,139,223
PR,562,49.15,11,134,250
RS,554,48.69,14,124,210
SC,304,42.43,6,67,111
MG,882,41.67,49,246,428
MS,68,24.47,3,25,40
