UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2624,633.11,19,195,425
CE,5460,597.89,67,648,1570
PA,4519,525.29,50,338,981
RJ,8585,497.25,173,1168,2112
PE,4102,429.21,45,408,897
AP,348,411.48,6,36,88
RR,239,394.55,0,47,100
AC,292,331.09,5,38,102
ES,1267,315.28,44,268,487
SP,12232,266.38,386,1864,3390
AL,848,254.09,17,147,291
MA,1645,232.5,38,246,550
RO,391,220.01,17,95,178
RN,693,197.61,38,184,306
SE,426,185.32,43,121,228
PB,724,180.18,15,114,273
PI,435,132.9,0,100,218
DF,397,131.66,18,115,195
TO,159,101.09,7,31,70
MT,309,88.68,21,134,221
BA,1305,87.74,42,266,486
GO,289,41.18,14,83,122
RS,423,37.18,17,86,147
PR,419,36.65,13,125,192
SC,234,32.66,12,43,75
MG,600,28.34,30,154,256
MS,40,14.39,1,12,19
