UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,15166,17932.42,543,3615,7014
AM,53989,13026.36,114,7516,17843
RR,6594,10885.48,247,2111,3635
AC,9091,10308.02,345,207,3491
CE,74692,8179.08,2745,14897,36871
MA,55680,7869.76,2172,15051,27701
PA,65151,7573.17,1746,17102,31452
PB,25370,6811.63,3338,9791,16238
DF,20507,6801.05,1074,7584,12207
ES,24428,6078.66,1037,7534,12225
RO,10547,5934.53,697,4088,6295
AL,19200,5753.06,1024,6103,11145
SE,11056,4809.68,440,2856,49
PE,42994,4498.66,1059,5487,12281
RJ,75775,4388.95,1402,14843,30889
TO,6529,4151.02,272,1648,3252
RN,13234,3773.75,1666,3952,7604
SP,162520,3539.27,6207,3332,66655
PI,9337,2852.54,514,3273,5094
BA,33891,2278.68,1206,10428,17928
SC,12953,1807.87,359,2421,4953
MT,5086,1459.62,569,1892,3135
RS,14168,1245.29,548,3158,5934
GO,7804,1111.94,424,286,4714
MS,2853,1026.63,256,928,1591
MG,18448,871.47,938,5414,9762
PR,8457,739.64,626,2637,4473
