UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2918,704.05,31,146,268
CE,6411,702.03,38,430,891
RJ,10624,615.35,124,835,1800
RR,364,600.9,6,83,119
PA,5096,592.36,27,251,513
PE,5116,535.31,48,408,968
AP,441,521.44,3,35,88
AC,391,443.34,4,40,94
ES,1781,443.18,23,274,484
SP,15996,348.35,302,1733,3502
SE,783,340.63,19,178,335
AL,1134,339.79,21,141,268
RN,1177,335.63,34,268,480
MA,2185,308.83,32,242,501
RO,548,308.35,15,72,139
PB,1082,269.28,20,186,339
PI,762,232.8,36,170,303
DF,671,222.53,28,134,266
MT,755,216.68,46,228,433
BA,2050,137.83,49,353,700
TO,215,136.69,4,24,48
GO,621,88.48,19,187,326
PR,749,65.51,34,187,321
RS,715,62.84,25,161,285
MG,1183,55.88,73,301,547
SC,383,53.46,7,79,146
MS,114,41.02,7,46,71
