UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2792,673.65,10,121,280
CE,6076,665.35,81,458,1077
PA,4920,571.9,50,248,629
RJ,9848,570.4,29,915,2120
PE,4782,500.36,31,530,896
AP,413,488.33,6,41,84
RR,281,463.88,0,30,78
AC,361,409.33,8,56,96
ES,1620,403.12,54,233,533
SP,14398,313.55,60,1764,3631
AL,1032,309.23,20,129,264
MA,2012,284.37,30,252,513
SE,653,284.07,33,162,301
RN,994,283.45,57,264,441
RO,500,281.34,14,69,168
PB,931,231.7,20,147,275
PI,643,196.44,28,141,250
DF,559,185.39,11,110,240
MT,582,167.03,19,198,366
TO,195,123.98,3,17,60
BA,1800,121.02,52,359,655
GO,467,66.54,31,143,229
PR,600,52.48,14,140,266
RS,582,51.15,23,124,222
SC,324,45.22,12,68,125
MG,940,44.4,41,252,459
MS,75,26.99,3,28,42
