UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,27662,32707.8,247,7740,11979
RR,12911,21313.69,1039,5261,6199
AM,68220,16459.98,953,6537,13109
AC,12644,14336.66,340,1657,3349
DF,41326,13705.58,2455,10424,19930
PA,99313,11544.18,2841,16432,31837
CE,105270,11527.5,2152,15407,29486
RO,19271,10843.31,1098,4918,8047
MA,76698,10840.43,1773,8198,19093
PB,42832,10659.69,2008,7739,16276
ES,41652,10364.67,1246,8420,16150
AL,32864,9847.31,799,5958,12833
SE,21908,9530.62,827,4100,10374
RN,23731,6767.04,993,7692,10187
RJ,108497,6284.24,2600,15119,30713
TO,9681,6155.01,256,1725,2937
PE,55804,5839.03,668,6084,11932
SP,258508,5629.65,9921,46850,90608
PI,18023,5506.19,943,5456,8198
BA,56422,3793.57,2131,12500,21757
MT,12601,3616.34,1030,4248,7238
SC,22947,3202.75,996,6625,9782
GO,21430,3053.42,1137,6981,13504
MS,6913,2487.6,390,2247,3912
RS,24114,2119.49,1054,5527,9730
MG,38891,1837.19,6122,12839,18785
PR,18464,1614.84,846,5679,9759
