UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,18618,22014.09,594,3995,7511
AM,59547,14367.38,1529,6698,15200
AC,10339,11723.09,336,1593,3660
RR,6947,11468.22,215,600,2804
CE,85606,9374.21,3437,13659,29550
DF,27140,9000.86,1761,7707,15120
PA,76623,8906.68,2431,13218,31849
MA,62711,8863.52,0,9203,24537
PB,31712,7892.23,1584,7680,15694
RO,13567,7633.81,557,3717,7854
ES,30508,7591.6,1478,7117,14387
AL,24867,7451.11,1235,6691,12460
SE,16310,7095.33,0,5694,8321
RJ,86963,5036.97,3620,12590,27723
PE,47446,4964.49,1019,5511,10983
TO,7573,4814.78,264,1316,2875
RN,15212,4337.79,0,3644,6063
SP,191517,4170.75,1232,35204,68034
PI,11559,3531.38,0,2736,5731
BA,40926,2751.69,1720,8241,18475
SC,15015,2095.67,613,2421,4981
MT,6672,1914.78,0,2155,3824
GO,12750,1816.67,988,5370,8180
RS,17128,1505.46,657,3508,6730
MS,4164,1498.39,379,1567,2362
MG,23347,1102.9,1323,5837,11337
PR,11085,969.48,528,3254,5591
