UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,30294,35819.9,290,1802,3857
RR,19088,31510.78,140,4447,8748
DF,62694,20792.18,2311,13477,27326
AM,79167,19101.25,2743,8344,14094
AC,14941,16941.16,253,1688,3131
ES,56703,14109.96,2156,9810,19478
RO,24564,13821.55,643,3313,8066
CE,126142,13813.07,3665,15659,28614
PA,118744,13802.84,2592,12891,27036
SE,31640,13764.33,922,6229,11757
PB,54802,13638.69,1651,7845,15803
MA,92088,13015.64,1837,11637,20067
AL,41524,12442.18,955,5562,11278
RN,35809,10211.15,753,5799,15734
PI,27514,8405.77,1003,7092,12245
TO,12904,8204.13,364,2240,4138
SP,332708,7245.53,9638,51328,103233
RJ,124086,7187.17,2207,11475,23217
PE,66151,6921.68,509,7293,13320
MT,22406,6430.25,1325,6770,12136
BA,91954,6182.59,3225,18647,42870
SC,35343,4932.87,1521,8989,16099
GO,31930,4549.5,1762,7088,13942
MS,10687,3845.65,434,2722,4903
RS,33800,2970.84,1399,6859,12936
PR,33939,2968.26,1528,11316,18266
MG,60897,2876.73,1271,15896,31000
