UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
CE,6563,718.68,82,417,846
AM,2952,712.25,14,129,266
RJ,10881,630.24,183,801,1728
RR,376,620.71,5,93,125
PA,5169,600.85,41,209,443
PE,5234,547.66,71,405,895
AP,455,538,6,38,75
ES,1879,467.57,43,232,447
AC,399,452.41,5,34,78
SE,851,370.21,25,175,340
RN,1289,367.57,35,255,539
SP,16475,358.78,341,1712,3407
AL,1192,357.17,20,140,272
RO,577,324.66,19,59,133
MA,2286,323.1,36,238,489
PB,1145,284.96,27,168,338
PI,834,254.79,25,171,317
DF,767,254.37,41,180,292
MT,846,242.79,25,253,452
BA,2216,148.99,48,363,725
TO,228,144.96,4,29,49
GO,726,103.44,72,235,371
PR,837,73.2,31,201,350
RS,793,69.7,34,179,316
MG,1282,60.56,52,317,562
SC,420,58.62,14,79,157
MS,128,46.06,6,52,73
