UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,27985,33089.72,84,6145,11473
RR,14341,23674.35,1263,6221,7466
AM,69649,16804.77,627,6239,13143
DF,44905,14892.54,2139,11678,22034
AC,13058,14806.08,145,1677,3416
CE,107593,11781.87,965,14727,30760
PA,101207,11764.34,764,15187,31983
RO,19820,11152.22,549,4639,7955
PB,44679,11119.36,437,7895,16666
MA,78512,11096.82,397,8453,18662
ES,43683,10870.07,2031,8817,17214
SE,24421,10623.85,1102,5436,10453
AL,34312,10281.19,791,5655,12113
RN,24456,6973.77,203,5166,10285
TO,10228,6502.78,262,1874,3256
RJ,111298,6446.47,2495,15165,31726
PE,58107,6080,1018,5994,12846
SP,271737,5917.74,6156,52552,93535
PI,19158,5852.94,493,4682,8801
BA,68495,4605.31,3251,22216,32094
MT,14341,4115.7,536,4565,8233
SC,24364,3400.52,556,6782,11004
GO,22125,3152.45,351,6238,14165
MS,7527,2708.54,220,2290,4094
RS,25243,2218.73,243,5895,10582
MG,42741,2019.06,1775,15100,21360
PR,20516,1794.3,918,6180,10933
