UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,13294,15718.95,249,3404,6710
AM,49817,12019.75,548,8043,19535
RR,6056,9997.34,818,2364,3542
AC,8128,9216.10,145,1802,3627
CE,66218,7251.14,1947,15714,30033
MA,49371,6978.05,1778,14074,26585
PA,57570,6691.96,2772,19524,31493
DF,16948,5620.73,325,6438,10018
PB,20951,5214.12,641,7256,12935
ES,20659,5140.78,1040,6590,10294
AL,16339,4895.79,633,5502,9657
RO,8626,4853.63,516,3454,5358
PE,40705,4259.15,463,5805,12339
SE,9728,4231.96,437,2495,4280
RJ,69499,4025.44,1743,14969,30201
TO,5807,3691.99,163,1462,3111
SP,144593,3148.87,1520,33297,60968
RN,10888,3104.78,1439,2924,6129
PI,7927,2421.77,306,2808,4377
BA,28715,1930.67,465,9817,14511
SC,11742,1638.85,177,2244,4867
MT,3998,1147.38,210,1457,2498
RS,12251,1076.80,115,2919,5692
GO,6149,876.13,336,2243,3637
MS,2324,836.28,71,756,1301
MG,15892,750.73,180,5222,8930
PR,7031,614.92,134,2196,3700
