UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,30004,35477,121,1751,5322
RR,18948,31279.66,26,4489,10760
DF,60383,20025.75,2529,13312,26235
AM,76424,18439.43,410,6531,12693
AC,14688,16654.29,66,1542,3149
ES,54547,13573.46,1154,9450,18400
PA,116152,13501.55,1617,12946,27516
RO,23921,13459.75,442,3515,8094
CE,122477,13411.73,491,14252,27769
SE,30718,13363.23,501,5901,11334
PB,53151,13227.8,423,8094,15898
MA,90251,12756,537,11282,19562
AL,40569,12156.03,634,5453,11174
RN,35056,9996.43,339,6086,15146
PI,26511,8099.35,432,6758,12035
TO,12540,7972.71,165,2181,4063
RJ,121879,7059.33,587,9996,24307
SP,323070,7035.64,2891,47925,101097
PE,65642,6868.42,513,7166,13148
MT,21081,6049.99,748,5995,11060
BA,88729,5965.75,1681,19262,41643
SC,33822,4720.59,853,8766,15885
GO,30168,4298.44,1642,6789,13090
MS,10253,3689.48,164,2577,4862
RS,32401,2847.88,446,6742,12691
PR,32411,2834.63,1291,11322,17463
MG,59626,2816.69,1343,15762,30708
