UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AC,404,45808,5,34,78
AL,1213,36346,21,141,275
AM,2967,71587,15,124,257
AP,462,54627,7,42,75
BA,2277,1531,61,375,736
CE,6665,72984,102,462,850
DF,801,26565,34,181,306
ES,1911,47553,32,219,448
GO,748,10658,22,227,373
MA,2324,32847,38,243,488
MG,1355,6401,73,348,584
MS,134,4822,6,49,78
MT,896,25714,50,267,473
PA,5196,60398,27,192,448
PB,1171,29143,26,169,343
PE,5323,55697,89,429,898
PI,858,26213,24,172,324
PR,880,7696,43,230,370
RJ,10970,63539,89,772,1675
RN,1322,37698,33,255,515
RO,585,32916,8,65,130
RR,386,63722,10,72,127
RS,825,7251,32,189,325
SC,432,6029,12,85,153
SE,875,38065,24,174,351
SP,16788,3656,313,1758,3436
TO,233,14814,5,29,52
