UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,29153,34470.77,226,1738,9766
RR,17583,29026.3,2430,5711,10407
AM,73530,17741.17,1246,6263,12794
DF,52281,17338.76,1605,13410,23760
AC,14048,15928.61,333,1744,3384
PA,110411,12834.21,2344,13939,30339
CE,116519,12759.31,2481,13401,28387
ES,50242,12502.21,1421,9836,18470
RO,21970,12361.97,508,3797,8166
PB,49536,12328.13,1361,8712,17776
MA,86025,12158.7,2769,11100,21734
SE,26612,11577,697,5531,9805
AL,37328,11184.9,509,5263,11695
RN,32578,9289.81,838,9840,16689
TO,11354,7218.67,232,1929,3580
PI,23307,7120.5,1248,6227,10740
RJ,116823,6766.49,1545,10926,29506
SP,302179,6580.69,12244,53592,109551
PE,61119,6395.16,1414,5983,12493
BA,79349,5335.08,2864,25058,37772
MT,17401,4993.88,1097,5830,9440
SC,28575,3988.25,1296,6624,13002
GO,26318,3749.88,173,6025,12694
MS,9062,3260.9,386,2539,4788
RS,29195,2566.09,1024,6135,11373
MG,50707,2395.37,3123,17938,25801
PR,26024,2276.03,2059,8406,14105
