UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,28927,34203.55,435,2008,10309
RR,15153,25014.82,512,4350,8206
AM,72284,17440.54,1461,5520,12737
DF,50676,16806.47,1459,13424,23536
AC,13715,15551.03,462,1693,3376
PA,108067,12561.75,2214,14031,31444
CE,114038,12487.63,3555,14460,28432
ES,48821,12148.61,1928,10338,18313
RO,21462,12076.13,211,4038,7895
PB,48175,11989.42,1218,8263,16463
MA,83256,11767.33,2805,9942,20321
SE,25915,11273.78,504,5562,9605
AL,36819,11032.38,857,5589,11952
RN,31740,9050.85,1730,9966,16528
TO,11122,7071.17,458,2024,3549
PI,22059,6739.22,1637,5832,9960
RJ,115278,6677,2667,11785,28315
SP,289935,6314.05,8555,51113,98418
PE,59705,6247.21,847,5683,12259
BA,76485,5142.52,3178,24554,35559
MT,16304,4679.05,668,5287,9148
SC,27279,3807.37,925,6358,12264
GO,26145,3725.23,1303,6918,13395
MS,8676,3122,711,2475,4512
RS,28171,2476.08,1230,6162,11043
MG,47584,2247.84,2583,16241,24237
PR,23965,2095.95,1342,7196,12880
