UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2686,648.07,15,136,371
CE,5717,626.03,99,525,1358
PA,4726,549.35,54,376,873
RJ,9153,530.15,220,1186,2225
PE,4339,454.01,87,380,886
AP,380,449.32,8,43,95
RR,251,414.35,0,35,83
AC,321,363.97,16,50,98
ES,1432,356.34,45,300,528
SP,13068,284.59,434,1936,3546
AL,920,275.67,17,127,280
MA,1797,253.99,37,260,512
RO,444,249.83,13,98,189
SE,511,222.3,20,147,259
RN,750,213.87,20,165,291
PB,807,200.84,23,136,273
PI,517,157.95,15,119,234
DF,475,157.53,26,127,239
TO,179,113.8,1,39,65
MT,394,113.07,10,151,271
BA,1491,100.25,50,310,554
GO,355,50.58,31,106,175
PR,487,42.59,27,123,234
RS,477,41.93,19,103,175
SC,263,36.71,7,51,84
MG,720,34.01,32,218,321
MS,55,19.79,8,19,33
