UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,13771,16282.96,477,326,6804
AM,51234,12361.64,1417,8039,19285
RR,6056,9997.34,0,2206,3473
AC,8457,9589.14,329,1992,3676
CE,69023,7558.30,2805,1595,32002
MA,52069,7359.39,2698,15444,27791
PA,59148,6875.38,1578,17941,30548
DF,18090,5999.47,1142,6834,1088
PB,22452,5587.68,1501,7593,13533
ES,21964,5465.52,1305,6813,11075
RO,9220,5187.86,594,3743,5727
AL,17193,5151.68,854,5634,10135
SE,10127,4405.54,399,2572,4392
PE,41010,4291.06,305,5502,12156
RJ,72979,4227.00,348,16247,32955
TO,6052,3847.75,245,1569,3194
SP,150138,3269.62,5545,31843,64121
RN,11027,3144.41,139,2794,5555
PI,8359,2553.75,432,2853,4639
BA,30481,2049.41,1766,9051,15915
SC,12192,1701.66,450,2532,5176
MT,4094,1174.93,96,1385,2466
RS,12803,1125.32,552,2884,6018
GO,6650,947.52,501,2273,3979
MS,2455,883.42,131,809,1355
MG,16111,761.07,219,5172,8595
PR,7314,639.67,283,2151,3802
