UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2650,639.39,26,185,418
CE,5520,604.46,60,691,1555
PA,4583,532.73,64,392,971
RJ,8824,511.09,239,1232,2185
PE,4148,434.02,46,364,878
AP,353,417.39,5,34,84
RR,245,404.45,6,48,106
AC,297,336.76,5,41,96
ES,1297,322.75,30,269,491
SP,12494,272.09,262,1913,3436
AL,866,259.49,18,143,284
MA,1684,238.02,39,248,552
RO,409,230.13,18,100,181
RN,697,198.75,4,164,287
SE,448,194.89,22,132,240
PB,743,184.91,19,120,276
PI,459,140.23,24,99,235
DF,405,134.32,8,112,197
TO,167,106.18,8,37,71
MT,322,92.41,13,130,226
BA,1350,90.77,45,281,504
GO,295,42.03,6,84,123
RS,430,37.79,7,86,147
PR,428,37.43,9,116,196
SC,237,33.08,3,44,71
MG,636,30.04,36,182,268
MS,43,15.47,3,15,22
