UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,19387,22923.36,769,4221,7836
AM,60736,14654.26,1189,6747,14263
AC,10664,12091.59,325,1573,3643
RR,7176,11846.26,229,582,2693
CE,88132,9650.82,2526,13440,28337
DF,28521,9458.86,1381,8014,15598
PA,80072,9307.6,3449,14921,32023
MA,64291,9086.83,1356,8611,23662
ES,31772,7906.14,1264,7344,14878
PB,31760,7904.18,48,6390,14181
RO,13804,7767.17,237,3257,7345
AL,25633,7680.63,766,6433,12536
SE,16807,7311.54,497,5751,8607
PE,48626,5087.96,1180,5632,11119
RJ,87317,5057.47,354,11542,26385
TO,7774,4942.57,201,1245,2893
RN,15889,4530.84,677,2655,6607
SP,192628,4194.95,1111,30108,63428
PI,12567,3839.33,468,3230,6503
BA,41577,2795.46,651,7686,18114
MT,7961,2284.71,805,2875,4767
SC,15573,2173.55,558,2620,5041
GO,13624,1941.2,874,5820,8680
RS,17822,1566.46,694,3654,6812
MS,4274,1537.97,110,1421,2349
MG,24906,1176.54,1559,6458,11872
PR,11919,1042.42,834,3462,6099
