UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2550,615.26,38,235,448
CE,5192,568.55,193,833,1771
PA,4350,505.65,59,497,1310
RJ,7967,461.46,239,1039,2281
PE,3959,414.25,73,506,1026
AP,337,398.47,8,52,100
RR,216,356.58,13,48,96
AC,271,307.28,6,48,106
ES,1132,281.69,45,228,468
SP,11132,242.43,365,1610,3138
AL,793,237.61,25,153,311
MA,1537,217.24,38,252,540
RO,346,194.69,14,91,174
PB,671,166.99,15,137,292
RN,585,166.82,32,126,244
SE,364,158.35,12,112,192
PI,393,120.07,0,110,213
DF,348,115.41,29,112,171
TO,140,89.01,5,26,61
BA,1181,79.41,36,244,445
MT,223,64,7,100,153
GO,249,35.48,11,69,98
RS,374,32.87,14,72,129
PR,364,31.83,30,111,165
SC,212,29.59,13,33,64
MG,502,23.71,21,103,213
MS,36,12.95,3,14,16
