UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2579,622.26,29,216,441
CE,5307,581.14,115,788,1702
PA,4395,510.88,45,415,1202
RJ,8138,471.36,171,1000,2128
PE,4009,419.48,50,478,997
RR,248,409.4,32,66,124
AP,338,399.65,1,49,91
AC,281,318.62,10,44,110
ES,1179,293.38,47,242,481
SP,11521,250.9,389,1659,3245
AL,811,243.01,18,151,305
MA,1537,217.24,0,215,509
RO,361,203.13,15,94,181
PB,696,173.22,25,137,282
RN,585,166.82,0,98,218
SE,364,158.35,0,100,184
PI,398,121.59,0,99,206
DF,365,121.05,17,109,174
TO,149,94.73,9,29,67
BA,1222,82.16,41,247,460
MT,243,69.74,0,102,167
GO,255,36.33,6,66,100
RS,387,34.02,13,71,129
PR,386,33.76,22,111,181
SC,216,30.15,4,32,64
MG,537,25.37,35,128,231
MS,36,12.95,0,12,16
