UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
CE,6307,690.64,104,412,914
AM,2862,690.54,19,131,257
RJ,10332,598.44,134,882,1920
PA,5050,587.01,46,247,581
RR,354,584.39,40,83,115
PE,4968,519.82,74,480,911
AP,427,504.89,7,33,85
ES,1727,429.75,35,237,504
AC,378,428.6,8,43,91
SP,15351,334.31,321,1592,3505
AL,1091,326.91,19,133,260
SE,725,315.4,24,172,342
RN,1095,312.25,28,230,440
MA,2119,299.5,38,248,512
RO,530,298.22,10,63,156
PB,1044,259.82,42,202,335
PI,697,212.94,11,151,262
DF,631,209.27,11,122,252
MT,665,190.85,36,220,377
TO,209,132.88,5,26,57
BA,1947,130.91,45,346,684
GO,572,81.5,51,188,297
PR,693,60.61,43,167,287
RS,663,58.27,27,163,257
SC,362,50.52,15,73,140
MG,1059,50.03,52,253,489
MS,91,32.75,6,30,52
