UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2671,644.45,14,159,400
CE,5618,615.19,95,619,1426
PA,4672,543.07,67,381,837
RJ,8933,517.41,58,1205,2152
PE,4252,444.91,18,366,902
AP,372,439.86,13,43,94
RR,251,414.35,0,48,83
AC,305,345.83,5,40,94
ES,1387,345.14,59,300,516
SP,12634,275.14,46,1867,3446
AL,903,270.57,19,135,281
MA,1760,248.76,39,261,513
RO,431,242.51,14,99,186
SE,491,213.6,29,139,257
RN,730,208.16,33,177,299
PB,784,195.12,18,128,277
PI,502,153.37,0,109,237
DF,449,148.91,26,130,223
TO,178,113.17,3,43,70
MT,384,110.2,14,168,270
BA,1441,96.89,50,296,531
GO,324,46.16,18,86,151
RS,458,40.26,24,98,167
PR,460,40.23,18,126,217
SC,256,35.73,10,57,79
MG,688,32.5,27,207,308
MS,47,16.91,2,14,25
