UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,21574,25509.29,1652,5252,8801
AM,62902,15176.87,1219,6876,14117
RR,8037,13267.61,387,1195,2799
AC,11263,12770.78,276,1729,3738
DF,32235,10690.59,1333,10276,16385
CE,92397,10117.85,2534,15968,28822
MA,69673,9847.52,1173,10814,24203
PA,84654,9840.21,1773,16198,31478
PB,36521,9089.06,1428,9067,16734
ES,34238,8519.78,1006,8227,15288
RO,14952,8413.12,599,3242,7252
AL,27698,8299.38,792,6811,12880
SE,18449,8025.85,641,5583,9477
RJ,95537,5533.58,2159,16701,31004
RN,19206,5476.71,3167,5417,9757
PE,51118,5348.71,1398,6447,11757
TO,8203,5215.32,247,1272,2698
SP,215793,4699.42,4135,42918,75244
PI,13813,4219.99,1246,3660,6708
BA,45304,3046.04,1382,9516,17908
MT,8725,2503.97,372,3201,5063
SC,17108,2387.79,786,3812,5823
GO,15418,2196.81,969,7477,9749
MS,4990,1795.62,324,1755,2858
RS,19138,1682.13,551,4511,7101
MG,27305,1289.87,1253,6691,12366
PR,13662,1194.86,877,4429,7057
