UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,16813,19879.84,301,3519,6923
AM,56777,13699.04,271,6960,15003
RR,7078,11684.48,203,1022,3386
AC,9771,11079.05,129,1643,3445
CE,79462,8701.41,2629,13244,28958
MA,60592,8564.02,742,11221,25295
PA,71243,8281.31,2019,13673,33197
DF,23683,7854.36,812,6735,13173
PB,28668,7134.67,655,7717,14973
ES,27652,6880.92,1183,6993,13583
AL,22929,6870.41,730,6590,12092
RO,12180,6853.38,315,3554,7008
SE,15675,6819.08,1707,5947,8442
PE,45507,4761.61,246,4802,10607
RJ,80946,4688.46,1374,11447,26416
TO,7137,4537.58,165,1330,2792
RN,14214,4053.21,43,3326,6250
SP,181460,3951.74,3258,36867,70164
PI,10357,3164.16,0,2430,5238
BA,37620,2529.4,1219,8905,18722
SC,13960,1948.42,600,2218,4462
MT,6185,1775.02,77,2187,3644
GO,10441,1487.67,2481,4292,6535
RS,15438,1356.92,777,3187,6106
MS,3551,1277.8,118,1227,1983
MG,21728,1026.42,347,5836,11058
PR,9716,849.75,133,2685,4881
