UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
CE,6373,697.87,66,411,913
AM,2887,696.57,25,148,263
RJ,10500,608.17,168,913,1915
RR,358,590.99,4,85,119
PA,5069,589.22,19,235,550
PE,5068,530.29,100,458,966
AP,438,517.9,11,37,90
AC,387,438.81,9,44,95
ES,1758,437.46,31,251,491
SP,15694,341.78,343,1728,3462
AL,1113,333.5,22,138,265
SE,764,332.36,39,185,338
RN,1143,325.93,48,254,450
MA,2153,304.3,34,247,508
RO,533,299.91,3,57,142
PB,1062,264.3,18,198,338
PI,726,221.8,29,152,291
DF,643,213.25,12,111,246
MT,709,203.47,44,233,400
BA,2001,134.54,54,359,696
TO,211,134.15,2,25,52
GO,602,85.78,30,177,313
PR,715,62.53,22,164,296
RS,690,60.65,27,150,267
SC,376,52.48,14,78,142
MG,1110,52.44,51,277,510
MS,107,38.5,16,42,67
