UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AC,15167,17197.41,226,1452,3145
AL,42322,12681.29,798,5503,11092
AM,80082,19322.02,915,7798,13318
AP,30524,36091.85,230,1597,3605
BA,95536,6423.42,3582,19051,43605
CE,128471,14068.10,2329,14433,28893
DF,64314,21329.45,1620,13638,27062
ES,58537,14566.33,1834,9716,20054
GO,33295,4743.99,1365,7150,14068
MA,92939,13135.92,851,9683,19625
MG,64035,3024.97,3138,16451,32692
MS,11063,3980.95,376,2387,4862
MT,23506,6745.94,1100,7202,12489
PA,120731,14033.81,1987,12664,26695
PB,56344,14022.45,1542,8169,16432
PE,67604,7073.72,1453,7899,13582
PI,28411,8679.81,897,6352,12184
PR,35324,3089.39,1385,11359,18555
RJ,126329,7317.08,2243,11051,22836
RN,36493,10406.20,684,4753,14719
RO,25067,14104.57,503,3605,7643
RR,19284,31834.34,196,4131,8481
RS,35557,3125.27,1757,7386,13548
SC,36810,5137.63,1467,9531,15889
SE,32490,14134.10,850,6575,12137
SP,341365,7434.06,8657,51430,102543
TO,13340,8481.33,436,2218,4242
